Week,Building,Floor,Space Type,Space Name,Capacity,Avg. Occupancy,Avg Utilization,Avg Hours Used (HH:MM)
"January 1, 2024",Calgary Building 1,1,Desks,E101G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E101L,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E143D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E144B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E170B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E001D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E001F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E002A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E193C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E193D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E194B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E194C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E196C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E197A,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E197B,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E197C,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E197D,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E197E,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E197G,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E197H,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E198F,1,0.00%,0.00%,0:00
"January 1, 2024",Calgary Building 1,1,Desks,E199C,1,0.00%,0.00%,0:00
